"0",""
"0","fit_rt"
"2","There were 2 divergent transitions after warmup. Increasing adapt_delta above 0.95 may help.
See http://mc-stan.org/misc/warnings.html#divergent-transitions-after-warmup"
"1"," Family: "
"1","shifted_lognormal"
"1"," "
"1","
"
"1","  Links: "
"1","mu = identity; sigma = identity; ndt = log"
"1"," "
"1","
"
"1","Formula: "
"1","response_time ~ trial_type + (trial_type | subid)"
"1"," "
"1","
"
"1","         ndt ~ subid
"
"1","   Data: rtDataStrongMask (Number of observations: 1120) 
"
"1","Samples: 4 chains, each with iter = 2000; warmup = 1000; thin = 1;
         total post-warmup samples = 4000

"
"1","Group-Level Effects: 
"
"1","~subid (Number of levels: 5) 
"
"1","                             "
"1"," Estimate"
"1"," Est.Error"
"1"," l-95% CI"
"1"," u-95% CI"
"1"," Rhat"
"1"," Bulk_ESS"
"1"," Tail_ESS"
"1","
sd(Intercept)                "
"1","     0.40"
"1","      0.23"
"1","     0.15"
"1","     1.02"
"1"," 1.00"
"1","     1101"
"1","     1628"
"1","
sd(trial_typenogo)           "
"1","     0.14"
"1","      0.11"
"1","     0.03"
"1","     0.40"
"1"," 1.00"
"1","     1060"
"1","     1349"
"1","
cor(Intercept,trial_typenogo)"
"1","    -0.13"
"1","      0.45"
"1","    -0.88"
"1","     0.76"
"1"," 1.00"
"1","     2306"
"1","     2246"
"1","
"
"1","
"
"1","Population-Level Effects: 
"
"1","              "
"1"," Estimate"
"1"," Est.Error"
"1"," l-95% CI"
"1"," u-95% CI"
"1"," Rhat"
"1"," Bulk_ESS"
"1"," Tail_ESS"
"1","
Intercept     "
"1","    -1.27"
"1","      0.18"
"1","    -1.62"
"1","    -0.90"
"1"," 1.00"
"1","     1284"
"1","     1817"
"1","
ndt_Intercept "
"1","    -1.41"
"1","      0.06"
"1","    -1.54"
"1","    -1.32"
"1"," 1.00"
"1","     2258"
"1","     1889"
"1","
trial_typenogo"
"1","     0.12"
"1","      0.08"
"1","    -0.04"
"1","     0.26"
"1"," 1.00"
"1","     1742"
"1","     1513"
"1","
ndt_subidp06  "
"1","    -0.41"
"1","      0.09"
"1","    -0.61"
"1","    -0.25"
"1"," 1.00"
"1","     2862"
"1","     2647"
"1","
ndt_subidp07  "
"1","    -0.36"
"1","      0.10"
"1","    -0.59"
"1","    -0.19"
"1"," 1.00"
"1","     2474"
"1","     1666"
"1","
ndt_subidp08  "
"1","    -0.87"
"1","      0.15"
"1","    -1.18"
"1","    -0.66"
"1"," 1.00"
"1","     2393"
"1","     1413"
"1","
ndt_subidp09  "
"1","    -0.92"
"1","      0.31"
"1","    -1.51"
"1","    -0.59"
"1"," 1.00"
"1","     1726"
"1","     1268"
"1","
"
"1","
"
"1","Family Specific Parameters: 
"
"1","     "
"1"," Estimate"
"1"," Est.Error"
"1"," l-95% CI"
"1"," u-95% CI"
"1"," Rhat"
"1"," Bulk_ESS"
"1"," Tail_ESS"
"1","
sigma"
"1","     0.35"
"1","      0.02"
"1","     0.31"
"1","     0.38"
"1"," 1.00"
"1","     1543"
"1","     1382"
"1","
"
"1","
"
"1","Samples were drawn using sampling(NUTS). "
"1","For each parameter, Eff.Sample 
is a crude measure of effective sample size, and Rhat is the potential 
scale reduction factor on split chains (at convergence, Rhat = 1)."
"1","
"
